NewName,Author,Family,Order,Class,Phylum,Taxonomy,OrigName,LifeForm,Region,PresentStatus,FirstRecord,FirstRecord_orig,DataQuality,Source,Harvest Point,Region2
Acacia confusa,Merr.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Acacia confusa,Vascular plants,Hawaiian Islands,,1915,1915,,CABI ISC,Naturalization Report,Pacific Islands
Adiantum raddianum,C. Presl,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,TPL,Adiantum raddianum,Vascular plants,Hawaiian Islands,,1907,1907,,CABI ISC,Naturalization Report,Pacific Islands
Albizia saman,(Jacq.) Merr.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Samanea saman,Vascular plants,Hawaiian Islands,,1847,1847,,CABI ISC,Naturalization Report,Pacific Islands
Asclepias curassavica,L.,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,TPL,Asclepias curassavica,Vascular plants,Nauru,,1949,1949,,CABI ISC,One-off Publication,Pacific Islands
Asclepias curassavica,L.,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,TPL,Asclepias curassavica,Vascular plants,New Caledonia,,1869,1869,,CABI ISC,One-off Publication,Pacific Islands
Azadirachta indica,A.Juss.,Meliaceae,Sapindales,Magnoliopsida,Tracheophyta,TPL,Azadirachta indica,Vascular plants,Fiji,,1809,1809,,CABI ISC,One-off Publication,Pacific Islands
Bocconia frutescens,L.,Papaveraceae,Ranunculales,Magnoliopsida,Tracheophyta,TPL,Bocconia frutescens,Vascular plants,Hawaiian Islands,,1920,1920,,CABI ISC,Naturalization Report,Pacific Islands
Casuarina equisetifolia,L.,Casuarinaceae,Fagales,Magnoliopsida,Tracheophyta,TPL,Casuarina equisetifolia,Vascular plants,Hawaiian Islands,,1882,1882,,CABI ISC,Naturalization Report,Pacific Islands
Chromolaena odorata,(L.) R.M.King & H.Rob.,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Chromolaena odorata,Vascular plants,Palau,,1989,1989,,CABI ISC,One-off Publication,Pacific Islands
Cinchona pubescens,Vahl,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,TPL,Cinchona pubescens,Vascular plants,Hawaiian Islands,,1868,1868,,CABI ISC,Naturalization Report,Pacific Islands
Corynocarpus laevigatus,J.R.Forst. & G.Forst.,Corynocarpaceae,Cucurbitales,Magnoliopsida,Tracheophyta,TPL,Corynocarpus laevigatus,Vascular plants,Hawaiian Islands,,1891,1891,,CABI ISC,Naturalization Report,Pacific Islands
Cyclosorus parasiticus,(L.) Farw.,Thelypteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,TPL,Cyclosorus parasiticus,Vascular plants,Hawaiian Islands,,1926,1926,,CABI ISC,Naturalization Report,Pacific Islands
Delairea odorata,Lem.,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Delairea odorata,Vascular plants,Hawaiian Islands,,1909,1909,,CABI ISC,Naturalization Report,Pacific Islands
Deparia petersenii,(Kunze) M. Kato,Athyriaceae,Polypodiales,Polypodiopsida,Tracheophyta,TPL,Deparia petersenii subsp. petersenii,Vascular plants,Hawaiian Islands,,1938,1938,,CABI ISC,Naturalization Report,Pacific Islands
Eichhornia crassipes,(Mart.) Solms,Pontederiaceae,Commelinales,Liliopsida,Tracheophyta,TPL,Eichhornia crassipes,Vascular plants,Fiji,,1905,1905,,CABI ISC,One-off Publication,Pacific Islands
