NewName,Author,Family,Order,Class,Phylum,Taxonomy,OrigName,LifeForm,Region,PresentStatus,FirstRecord,FirstRecord_orig,DataQuality,Source,Harvest Point,Region2
Asclepias curassavica,L.,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,TPL,Asclepias curassavica,Vascular plants,Nauru,,1949,1949,,CABI ISC,,Pacific Islands
Asclepias curassavica,L.,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,TPL,Asclepias curassavica,Vascular plants,New Caledonia,,1869,1869,,CABI ISC,,Pacific Islands
Azadirachta indica,A.Juss.,Meliaceae,Sapindales,Magnoliopsida,Tracheophyta,TPL,Azadirachta indica,Vascular plants,Fiji,,1809,1809,,CABI ISC,,Pacific Islands
Chromolaena odorata,(L.) R.M.King & H.Rob.,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Chromolaena odorata,Vascular plants,Palau,,1989,1989,,CABI ISC,,Pacific Islands
Eichhornia crassipes,(Mart.) Solms,Pontederiaceae,Commelinales,Liliopsida,Tracheophyta,TPL,Eichhornia crassipes,Vascular plants,Fiji,,1905,1905,,CABI ISC,,Pacific Islands
Lantana camara,L.,Verbenaceae,Lamiales,Magnoliopsida,Tracheophyta,TPL,Lantana camara,Vascular plants,French Polynesia,,1843,1843,,CABI ISC,,Pacific Islands
Miconia calvescens,DC.,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,TPL,Miconia calvescens,Vascular plants,French Polynesia,,1937,1937,,CABI ISC,,Pacific Islands
Mimosa diplotricha,Sauvalle,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Mimosa diplotricha,Vascular plants,Niue,,1998,1998,,CABI ISC,,Pacific Islands
Mimosa pudica,L.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Mimosa pudica,Vascular plants,French Polynesia,,1845,1845,,CABI ISC,,Pacific Islands
Mimosa pudica,L.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Mimosa pudica,Vascular plants,Samoa,,1839,1839,,CABI ISC,,Pacific Islands
Mimosa pudica,L.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Mimosa pudica,Vascular plants,Tonga,,1840,1840,,CABI ISC,,Pacific Islands
Parkinsonia aculeata,L.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Parkinsonia aculeata,Vascular plants,Guam,,1971,1971,,CABI ISC,,Pacific Islands
Passiflora suberosa,L.,Passifloraceae,Malpighiales,Magnoliopsida,Tracheophyta,TPL,Passiflora suberosa,Vascular plants,Fiji,,1942,1942,,CABI ISC,,Pacific Islands
Passiflora suberosa,L.,Passifloraceae,Malpighiales,Magnoliopsida,Tracheophyta,TPL,Passiflora suberosa,Vascular plants,Guam,,1945,1945,,CABI ISC,,Pacific Islands
Senna bacillaris,(L.f.) H.S.Irwin & Barneby,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Senna bacillaris,Vascular plants,Fiji,,1985,1985,,CABI ISC,,Pacific Islands
Sorghum halepense,(L.) Pers.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Sorghum halepense,Vascular plants,Samoa,,1895,1895,,CABI ISC,,Pacific Islands
Sorghum halepense,(L.) Pers.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Sorghum halepense,Vascular plants,Tonga,,1951,1951,,CABI ISC,,Pacific Islands
Sphagneticola trilobata,(L.) Pruski,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Sphagneticola trilobata,Vascular plants,Fiji,,1972,1972,,CABI ISC,,Pacific Islands
Acacia concinna,(Willd.) DC.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Acacia concinna,Vascular plants,New Caledonia,established,1988,1988 - 1988,mean,GISD,,Pacific Islands
Acacia farnesiana,(L.) Willd.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Acacia farnesiana,Vascular plants,French Polynesia,established,1845,1845 - 1845,mean,GISD,,Pacific Islands
Adenanthera pavonina,L.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Adenanthera pavonina,Vascular plants,French Polynesia,alien,1845,1845 - 1845,mean,GISD,,Pacific Islands
Albizia lebbeck,(L.) Benth.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Albizia lebbeck,Vascular plants,French Polynesia,established,1845,1845 - 1845,mean,GISD,,Pacific Islands
Anodendron paniculatum,A.DC.,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,TPL,Anodendron paniculatum,Vascular plants,French Polynesia,alien,1934,1934 - 1934,mean,GISD,,Pacific Islands
Ardisia elliptica,Thunb.,Primulaceae,Ericales,Magnoliopsida,Tracheophyta,TPL,Ardisia elliptica,Vascular plants,French Polynesia,alien,1920,1920 - 1920,mean,GISD,,Pacific Islands
Arundo donax,L.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Arundo donax,Vascular plants,New Caledonia,established,1883,1883 - 1883,mean,GISD,,Pacific Islands
Bidens pilosa,L.,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Bidens pilosa,Vascular plants,French Polynesia,alien,1838,1838 - 1838,mean,GISD,,Pacific Islands
Brachiaria mutica,(Forssk.) Stapf,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Urochloa mutica,Vascular plants,New Caledonia,established,1874,1874,NEW_After,GISD,,Pacific Islands
Brachiaria reptans,(L.) C.A.Gardner & C.E.Hubb.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Urochloa reptens,Vascular plants,New Caledonia,established,1855,1855 - 1855,mean,GISD,,Pacific Islands
Brugmansia suaveolens,(Humb. & Bonpl. ex Willd.) Bercht. & J.Presl,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,TPL,Brugmansia suaveolens,Vascular plants,New Caledonia,established,1925,1925 - 1925,mean,GISD,,Pacific Islands
Caesalpinia decapetala,(Roth) Alston,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Caesalpinia decapetala,Vascular plants,French Polynesia,alien,1947,1947 - 1947,mean,GISD,,Pacific Islands
Caesalpinia decapetala,(Roth) Alston,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Caesalpinia decapetala,Vascular plants,New Caledonia,established,1855,1855,NEW_Before,GISD,,Pacific Islands
Cecropia peltata,L.,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,TPL,Cecropia peltata,Vascular plants,French Polynesia,alien,1926,1926 - 1926,mean,GISD,,Pacific Islands
Cenchrus echinatus,L.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Cenchrus echinatus,Vascular plants,French Polynesia,alien,1877,1877 - 1877,mean,GISD,,Pacific Islands
Cenchrus echinatus,L.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Cenchrus echinatus,Vascular plants,New Caledonia,established,1913,1913 - 1913,mean,GISD,,Pacific Islands
Cestrum nocturnum,L.,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,TPL,Cestrum nocturnum,Vascular plants,French Polynesia,alien,1936,1936 - 1936,mean,GISD,,Pacific Islands
Chloris barbata,Sw.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Chloris barbata,Vascular plants,French Polynesia,alien,1981,1981 - 1981,mean,GISD,,Pacific Islands
Chrysobalanus icaco,L.,Chrysobalanaceae,Malpighiales,Magnoliopsida,Tracheophyta,TPL,Chrysobalanus icaco,Vascular plants,French Polynesia,alien,1922,1922 - 1922,mean,GISD,,Pacific Islands
Cinchona pubescens,Vahl,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,TPL,Cinchona pubescens,Vascular plants,French Polynesia,alien,1938,1938 - 1938,mean,GISD,,Pacific Islands
Cinnamomum verum,J.Presl,Lauraceae,Laurales,Magnoliopsida,Tracheophyta,TPL,Cinnamomum verum,Vascular plants,French Polynesia,alien,1850,1850 - 1850,mean,GISD,,Pacific Islands
Coffea arabica,L.,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,TPL,Coffea arabica,Vascular plants,French Polynesia,alien,1817,1817 - 1817,mean,GISD,,Pacific Islands
Cryptostegia grandiflora,Roxb. ex R.Br.,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,TPL,Cryptostegia grandiflora,Vascular plants,New Caledonia,established,1914,1914,NEW_After,GISD,,Pacific Islands
Cynodon dactylon,(L.) Pers.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Cynodon dactylon,Vascular plants,French Polynesia,alien,1951,1951,NEW_Before,GISD,,Pacific Islands
Cyperus rotundus,L.,Cyperaceae,Poales,Liliopsida,Tracheophyta,TPL,Cyperus rotundus,Vascular plants,French Polynesia,alien,1922,1922 - 1922,mean,GISD,,Pacific Islands
Desmodium incanum,DC.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Desmodium incanum,Vascular plants,French Polynesia,alien,1962,1962 - 1962,mean,GISD,,Pacific Islands
Dolichandra unguis-cati,(L.) L.G.Lohmann,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,TPL,Macfadyena unguis-cati,Vascular plants,New Caledonia,established,1950,1950 - 1950,mean,GISD,,Pacific Islands
Eichhornia crassipes,(Mart.) Solms,Pontederiaceae,Commelinales,Liliopsida,Tracheophyta,TPL,Eichhornia crassipes,Vascular plants,French Polynesia,alien,1950,1950 - 1950,mean,GISD,,Pacific Islands
Elephantopus mollis,Kunth,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Elephantopus mollis,Vascular plants,French Polynesia,alien,1912,1912 - 1912,mean,GISD,,Pacific Islands
Eugenia uniflora,L.,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,TPL,Eugenia uniflora,Vascular plants,French Polynesia,alien,1848,1848 - 1848,mean,GISD,,Pacific Islands
Falcataria moluccana,(Miq.) Barneby & J.W.Grimes,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Falcataria moluccana,Vascular plants,New Caledonia,established,1900,1900 - 1900,mean,GISD,,Pacific Islands
Ficus microcarpa,L.f.,Moraceae,Rosales,Magnoliopsida,Tracheophyta,TPL,Ficus microcarpa,Vascular plants,French Polynesia,established,1900,1900 - 1900,mean,GISD,,Pacific Islands
Flemingia strobilifera,(L.) W.T.Aiton,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Flemingia strobilifera,Vascular plants,French Polynesia,alien,1937,1937 - 1937,mean,GISD,,Pacific Islands
Furcraea foetida,(L.) Haw.,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,TPL,Furcraea foetida,Vascular plants,New Caledonia,established,1866,1866,NEW_After,GISD,,Pacific Islands
Garcinia cowa,Roxb. ex Choisy,Clusiaceae,Malpighiales,Magnoliopsida,Tracheophyta,TPL,Garcinia cowa,Vascular plants,French Polynesia,alien,1926,1926 - 1926,mean,GISD,,Pacific Islands
Grevillea robusta,A.Cunn. ex R.Br.,Proteaceae,Proteales,Magnoliopsida,Tracheophyta,TPL,Grevillea robusta,Vascular plants,French Polynesia,established,1890,1890 - 1890,mean,GISD,,Pacific Islands
Heteropogon contortus,(L.) P.Beauv. ex Roem. & Schult.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Heteropogon contortus,Vascular plants,New Caledonia,established,1800,1800,NEW_After,GISD,,Pacific Islands
Ipomoea cairica,(L.) Sweet,Convolvulaceae,Solanales,Magnoliopsida,Tracheophyta,TPL,Ipomoea cairica,Vascular plants,New Caledonia,established,1845,1845 - 1845,mean,GISD,,Pacific Islands
Leucaena leucocephala,(Lam.) de Wit,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Leucaena leucocephala,Vascular plants,French Polynesia,alien,1845,1845 - 1845,mean,GISD,,Pacific Islands
Leucaena leucocephala,(Lam.) de Wit,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Leucaena leucocephala,Vascular plants,New Caledonia,established,1855,1855 - 1855,mean,GISD,,Pacific Islands
Licuala grandis,H.Wendl.,Arecaceae,Arecales,Liliopsida,Tracheophyta,TPL,Licuala grandis,Vascular plants,French Polynesia,established,1936,1936 - 1936,mean,GISD,,Pacific Islands
Macroptilium atropurpureum,(DC.) Urb.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Phaseolus atropurpureus,Vascular plants,New Caledonia,established,1862,1862 - 1862,mean,GISD,,Pacific Islands
Melinis minutiflora,P.Beauv.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Melinis minutiflora,Vascular plants,New Caledonia,established,1940,1940 - 1940,mean,GISD,,Pacific Islands
Mikania micrantha,Kunth,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Mikania micrantha,Vascular plants,New Caledonia,established,1993,1993 - 1993,mean,GISD,,Pacific Islands
